ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,"Видимость в каталоге","Короткое описание",Описание,"Дата начала действия продажной цены","Дата окончания действия продажной цены","Статус налога","Налоговый класс","В наличии?",Запасы,"Малое количество на складе","Задержанный заказ возможен?","Продано индивидуально?","Вес (kg)","Длина (cm)","Ширина (cm)","Высота (cm)","Разрешить отзывы от клиентов?","Примечание к покупке","Цена распродажи","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Число дней до просроченной загрузки",Родительский,"Сгруппированные товары",Апсейл,Кросселы,"Внешний URL","Текст кнопки",Позиция,"Мета: _wfg_single_gift_enabled","Мета: _wfg_single_gift_allowed","Мета: _yst_prominent_words_version","Мета: _yoast_wpseo_primary_product_cat","Мета: _yoast_wpseo_content_score","Мета: _yoast_wpseo_focuskeywords","Мета: _yoast_wpseo_keywordsynonyms","Мета: _wfg_gift_product","Мета: _download_type","Мета: cbc-bgposition"
81,simple,,"Ролл Фурия",1,0,visible,"Рис, нори, стружка тунца, лосось, помидор, спайс-соус, авокадо",,,,taxable,,1,,,0,0,,,,,0,,,102,Роллы,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-05-d7c87184a792debdc8bfed29e3a2b8168542d68eb397bcc64cbbde91d9ab8268_84f1eb05-—-копия.jpg,,,,,,,,,0,1,0,1,,30,[],"[""""]",,,
144,variation,,"Ролл Фурия",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:81,,,,,,0,,,,,,,,1,,
145,variation,,"Ролл Фурия",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:81,,,,,,0,,,,,,,,1,,
146,variation,,"Ролл Фурия",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:81,,,,,,0,,,,,,,,1,,
148,variation,,"Ролл Фурия",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:81,,,,,,0,,,,,,,,1,,
149,variation,,"Ролл Фурия",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:81,,,,,,0,,,,,,,,1,,
334,simple,,"Ролл Black",'-1,0,visible,,"<img class=""size-medium wp-image-335"" src=""http://ba.zp.ua/wp-content/uploads/2019/04/блек-300x216.jpg"" alt="""" width=""300"" height=""216"" />\n\n[caption id=""attachment_335"" align=""alignnone"" width=""300""]<img class=""size-medium wp-image-335"" src=""http://ba.zp.ua/wp-content/uploads/2019/04/блек-300x216.jpg"" alt="""" width=""300"" height=""216"" /> 250г[/caption]",,,taxable,,1,,,0,0,,,,,1,,,115,"Роллы, Суши",,,,,,,,,,,,0,,1,,,,,,,,
337,simple,"Ролл Black","Ролл Black",1,0,visible,"Рис, нори, окунь, икра тобика, кунжут, огурец, крем-сыр. Вес 250 г","[caption 250г<!--more-->\n\n[/caption]",,,taxable,,1,,,0,0,,,,,0,,,80,Роллы,ролл,,"http://ba.zp.ua/wp-content/uploads/2019/04/блек.jpg, http://ba.zp.ua/wp-content/uploads/2019/04/блек.jpg",,,,,,,,,0,,1,1,,30,[],"[""""]",,,Ролл
338,simple,,"Ролл Отару",1,0,visible,"Рис, нори, лосось, огурец, спайс-соус, кунжут, спайс соус, соус чили. Вес 215 г",,,,taxable,,1,,,0,0,,,,,0,,,73,Роллы,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-05-b9d89441112e25d14804c6346cefcd1ab9ca4ca02244556b932fb41e8dc2ecdf_32757733.jpg,,,,,,,,,0,,1,1,,30,[],"[""""]",,,
343,simple,,"Ролл ""Зеленый самурай""",1,0,visible,"Рис, нори, крем сыр, огурец, лосось, икра тобика зеленая). Вес 260 г",,,,taxable,,1,,,0,0,,,,,0,,,90,Роллы,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-05-0d493d0b6083e30cc707318d31af9cf52b97b27878957ccdd6e80ad21e28180d_a436e3da.jpg,,,,,,,,,0,,1,1,,30,[],"[""""]",,,
345,simple,,"Ролл ""Красный дракон""",1,0,visible,"Рис, нори, лослсь, крем сыр, авокадо, креветка, икра тобика. Вес 275 г.",,,,taxable,,1,,,0,0,,,,,1,,,140,Роллы,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-04-89d1b6389cf70803de3a0aec527f425aa7f08216c9596d871fff72cf654373f7_8cda3f0b.jpg,,,,,,,,,0,,1,,,,,,,,
347,simple,,"Ролл ""Тори""",1,0,visible,"Рим, нори, курица копченная, крем-сыр, огурец, кунжут, японский майонез. Вес 245 г.",,,,taxable,,1,,,0,0,,,,,0,,,88,Роллы,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-04-b5c8ccf8c76a89e052145d5e47a4b7206910d54f52b0fb0fc2caf1151c91f2f9_a5bb47a-—-копия.jpg,,,,,,,,,0,,1,1,,,,,,,
363,simple,,"Ролл ""Филадельфия- Шеф""",1,0,visible,"Рис, нори, лосось, авокадо, икра тобика, сыр филадельфия. Вес 270 г.",,,,taxable,,1,,,0,0,,,,,0,,98,128,Роллы,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-05-3da94f7553d8e19a719681a59d5433c573d4eed88fc3200cccb6bd51d6b2db41_a762e887-—-копия.jpg,,,,,,,,,0,,1,1,,30,[],"[""""]",,,
364,simple,,"Ролл ""Туно""",1,0,visible,"Рис, нори, тунец, крем-сыр, огурец. Вес 250г.",,,,taxable,,1,,,0,0,,,,,0,,88,125,Роллы,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-05-845bd9551d21bea2cfd5072122bc2af9aa946e40a8ffaa3a1276b4c5db08ec89_f93e45bb-—-копия.jpg,,,,,,,,,0,,1,1,,30,[],"[""""]",,,
365,simple,,"Ролл ""Спайси""",1,0,visible,"Рис, нори, креветка, огурец, кунжут, спайс-соус. Вес 250 г.",,,,taxable,,1,,,0,0,,,,,0,,,94,Роллы,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-04-e7e62ece01ca2bbc8ceb4cc7ae6cdca024436f17807d16c90e8e8c1998607a07_fb02e676-—-копия.jpg,,,,,,,,,0,,1,1,,30,[],"[""""]",,,
366,simple,,"Ролл ""Де-Люкс""",'-1,0,visible,"Рис, нори, авокадо, креветка, икра тобика, унаги-соус. Вес 215 г.",,,,taxable,,1,,,0,0,,,,,1,,,104,Роллы,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-05-80c839c5e7d4c231fe3399391cf8ebded06b110b86ac645a250f1b14ba288263_7bbff534-—-копия.jpg,,,,,,,,,0,,1,,,,,,,,
368,simple,,"Ролл ""Кунсей""",1,0,visible,"Рис, нори, авокадо, крем-сыр, помидор, грибы шитаке. Вес 250г.",,,,taxable,,1,,,0,0,,,,,1,,,94,Роллы,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-05-4cbc9ea43821eda9740abbcd1dc4d72a583f936e576954722dbbdc505d7a8a27_772e4ee6-—-копия.jpg,,,,,,,,,0,,1,,,,,,,,
369,simple,,"Ролл ""Чикаго""",1,0,visible,"Рис, нори, огурец, авокадо, снежный краб, икра тобика. Вес 245 г.",,,,taxable,,1,,,0,0,,,,,0,,,73,Роллы,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-05-b6deda67607749ca7e07a9d2c99252305d64092d05d7df3763f4527838cb3422_71c0f852.jpg,,,,,,,,,0,,1,1,,30,[],"[""""]",,,
370,simple,,"Ролл ""Горячий Чиз""",1,0,visible,"Рис, нори, твердый сыр, снежный краб, помидор, соус спайс, темпура. Вес 210 г.",,,,taxable,,1,,,0,0,,,,,1,,,95,Роллы,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-05-ac69121afc9ca5094700e6b9dbddf878c32d36f6adbf661ed36d5bdf4b9b7a72_36426744-—-копия.jpg,,,,,,,,,0,,1,1,,,,,,,
